identity,source_path,aligned_path,split,group_id,confidence,success,error
Abhiram,C:\Users\main\Frentzen\Project\ISD\frentzen\frentzen\training_images_augmented_v2\Abhiram\aug_vid0_frame00335_combined_0097.jpg,C:\Users\main\Frentzen\Project\ISD\frentzen\frentzen\artifacts\aligned_faces\enrollment\Abhiram\vid0_frame00335_aug_vid0_frame00335_combined_0097.jpg,enrollment,vid0_frame00335,0.999980,true,
Abhiram,C:\Users\main\Frentzen\Project\ISD\frentzen\frentzen\training_images_augmented_v2\Abhiram\aug_vid0_frame00335_combined_0439.jpg,C:\Users\main\Frentzen\Project\ISD\frentzen\frentzen\artifacts\aligned_faces\enrollment\Abhiram\vid0_frame00335_aug_vid0_frame00335_combined_0439.jpg,enrollment,vid0_frame00335,0.999870,true,
Abhiram,C:\Users\main\Frentzen\Project\ISD\frentzen\frentzen\training_images_augmented_v2\Abhiram\aug_vid0_frame00335_occlusion_0440.jpg,C:\Users\main\Frentzen\Project\ISD\frentzen\frentzen\artifacts\aligned_faces\enrollment\Abhiram\vid0_frame00335_aug_vid0_frame00335_occlusion_0440.jpg,enrollment,vid0_frame00335,0.999865,true,
Abhiram,C:\Users\main\Frentzen\Project\ISD\frentzen\frentzen\training_images_augmented_v2\Abhiram\raw_vid0_frame00335.jpg,C:\Users\main\Frentzen\Project\ISD\frentzen\frentzen\artifacts\aligned_faces\enrollment\Abhiram\vid0_frame00335_raw_vid0_frame00335.jpg,enrollment,vid0_frame00335,0.999672,true,
Abhiram,C:\Users\main\Frentzen\Project\ISD\frentzen\frentzen\training_images_augmented_v2\Abhiram\aug_vid0_frame00710_photometric_0284.jpg,C:\Users\main\Frentzen\Project\ISD\frentzen\frentzen\artifacts\aligned_faces\enrollment\Abhiram\vid0_frame00710_aug_vid0_frame00710_photometric_0284.jpg,enrollment,vid0_frame00710,0.999957,true,
Abhiram,C:\Users\main\Frentzen\Project\ISD\frentzen\frentzen\training_images_augmented_v2\Abhiram\aug_vid0_frame00710_photometric_0405.jpg,C:\Users\main\Frentzen\Project\ISD\frentzen\frentzen\artifacts\aligned_faces\enrollment\Abhiram\vid0_frame00710_aug_vid0_frame00710_photometric_0405.jpg,enrollment,vid0_frame00710,0.999815,true,
Abhiram,C:\Users\main\Frentzen\Project\ISD\frentzen\frentzen\training_images_augmented_v2\Abhiram\raw_vid0_frame00710.jpg,C:\Users\main\Frentzen\Project\ISD\frentzen\frentzen\artifacts\aligned_faces\enrollment\Abhiram\vid0_frame00710_raw_vid0_frame00710.jpg,enrollment,vid0_frame00710,0.999964,true,
Abhiram,C:\Users\main\Frentzen\Project\ISD\frentzen\frentzen\training_images_augmented_v2\Abhiram\aug_vid0_frame00570_geometric_0183.jpg,C:\Users\main\Frentzen\Project\ISD\frentzen\frentzen\artifacts\aligned_faces\enrollment\Abhiram\vid0_frame00570_aug_vid0_frame00570_geometric_0183.jpg,enrollment,vid0_frame00570,0.999942,true,
Abhiram,C:\Users\main\Frentzen\Project\ISD\frentzen\frentzen\training_images_augmented_v2\Abhiram\aug_vid0_frame00570_occlusion_0009.jpg,C:\Users\main\Frentzen\Project\ISD\frentzen\frentzen\artifacts\aligned_faces\enrollment\Abhiram\vid0_frame00570_aug_vid0_frame00570_occlusion_0009.jpg,enrollment,vid0_frame00570,0.999668,true,
Abhiram,C:\Users\main\Frentzen\Project\ISD\frentzen\frentzen\training_images_augmented_v2\Abhiram\aug_vid0_frame00570_photometric_0347.jpg,C:\Users\main\Frentzen\Project\ISD\frentzen\frentzen\artifacts\aligned_faces\enrollment\Abhiram\vid0_frame00570_aug_vid0_frame00570_photometric_0347.jpg,enrollment,vid0_frame00570,0.999964,true,
Abhiram,C:\Users\main\Frentzen\Project\ISD\frentzen\frentzen\training_images_augmented_v2\Abhiram\aug_vid0_frame00570_snow_0266.jpg,C:\Users\main\Frentzen\Project\ISD\frentzen\frentzen\artifacts\aligned_faces\enrollment\Abhiram\vid0_frame00570_aug_vid0_frame00570_snow_0266.jpg,enrollment,vid0_frame00570,0.999267,true,
Abhiram,C:\Users\main\Frentzen\Project\ISD\frentzen\frentzen\training_images_augmented_v2\Abhiram\raw_vid0_frame00570.jpg,C:\Users\main\Frentzen\Project\ISD\frentzen\frentzen\artifacts\aligned_faces\enrollment\Abhiram\vid0_frame00570_raw_vid0_frame00570.jpg,enrollment,vid0_frame00570,0.999949,true,
Abhiram,C:\Users\main\Frentzen\Project\ISD\frentzen\frentzen\training_images_augmented_v2\Abhiram\aug_vid0_frame00715_geometric_0007.jpg,C:\Users\main\Frentzen\Project\ISD\frentzen\frentzen\artifacts\aligned_faces\enrollment\Abhiram\vid0_frame00715_aug_vid0_frame00715_geometric_0007.jpg,enrollment,vid0_frame00715,0.999944,true,
Abhiram,C:\Users\main\Frentzen\Project\ISD\frentzen\frentzen\training_images_augmented_v2\Abhiram\aug_vid0_frame00715_photometric_0269.jpg,C:\Users\main\Frentzen\Project\ISD\frentzen\frentzen\artifacts\aligned_faces\enrollment\Abhiram\vid0_frame00715_aug_vid0_frame00715_photometric_0269.jpg,enrollment,vid0_frame00715,0.985006,true,
Abhiram,C:\Users\main\Frentzen\Project\ISD\frentzen\frentzen\training_images_augmented_v2\Abhiram\raw_vid0_frame00715.jpg,C:\Users\main\Frentzen\Project\ISD\frentzen\frentzen\artifacts\aligned_faces\enrollment\Abhiram\vid0_frame00715_raw_vid0_frame00715.jpg,enrollment,vid0_frame00715,0.999943,true,
Abhiram,C:\Users\main\Frentzen\Project\ISD\frentzen\frentzen\training_images_augmented_v2\Abhiram\aug_vid0_frame00395_combined_0111.jpg,C:\Users\main\Frentzen\Project\ISD\frentzen\frentzen\artifacts\aligned_faces\enrollment\Abhiram\vid0_frame00395_aug_vid0_frame00395_combined_0111.jpg,enrollment,vid0_frame00395,0.999979,true,
Abhiram,C:\Users\main\Frentzen\Project\ISD\frentzen\frentzen\training_images_augmented_v2\Abhiram\aug_vid0_frame00395_fog_0274.jpg,C:\Users\main\Frentzen\Project\ISD\frentzen\frentzen\artifacts\aligned_faces\enrollment\Abhiram\vid0_frame00395_aug_vid0_frame00395_fog_0274.jpg,enrollment,vid0_frame00395,0.999901,true,
Abhiram,C:\Users\main\Frentzen\Project\ISD\frentzen\frentzen\training_images_augmented_v2\Abhiram\aug_vid0_frame00395_occlusion_0421.jpg,C:\Users\main\Frentzen\Project\ISD\frentzen\frentzen\artifacts\aligned_faces\enrollment\Abhiram\vid0_frame00395_aug_vid0_frame00395_occlusion_0421.jpg,enrollment,vid0_frame00395,0.999964,true,
Abhiram,C:\Users\main\Frentzen\Project\ISD\frentzen\frentzen\training_images_augmented_v2\Abhiram\raw_vid0_frame00395.jpg,C:\Users\main\Frentzen\Project\ISD\frentzen\frentzen\artifacts\aligned_faces\enrollment\Abhiram\vid0_frame00395_raw_vid0_frame00395.jpg,enrollment,vid0_frame00395,0.999964,true,
Abhiram,C:\Users\main\Frentzen\Project\ISD\frentzen\frentzen\training_images_augmented_v2\Abhiram\aug_vid0_frame00325_photometric_0065.jpg,C:\Users\main\Frentzen\Project\ISD\frentzen\frentzen\artifacts\aligned_faces\enrollment\Abhiram\vid0_frame00325_aug_vid0_frame00325_photometric_0065.jpg,enrollment,vid0_frame00325,0.999978,true,
