identity,source_path,aligned_path,split,group_id,confidence,success,error
Abhiram,C:\Users\main\Frentzen\Project\ISD\frentzen\frentzen\training_images_augmented_v2\Abhiram\aug_vid0_frame00495_photometric_0445.jpg,C:\Users\main\Frentzen\Project\ISD\frentzen\frentzen\artifacts\aligned_faces\enrollment\Abhiram\vid0_frame00495_aug_vid0_frame00495_photometric_0445.jpg,enrollment,vid0_frame00495,,false,No face detected.
Abhiram,C:\Users\main\Frentzen\Project\ISD\frentzen\frentzen\training_images_augmented_v2\Abhiram\aug_vid0_frame00435_photometric_0012.jpg,C:\Users\main\Frentzen\Project\ISD\frentzen\frentzen\artifacts\aligned_faces\enrollment\Abhiram\vid0_frame00435_aug_vid0_frame00435_photometric_0012.jpg,enrollment,vid0_frame00435,,false,No face detected.
Abhiram,C:\Users\main\Frentzen\Project\ISD\frentzen\frentzen\training_images_augmented_v2\Abhiram\aug_vid0_frame00650_photometric_0265.jpg,C:\Users\main\Frentzen\Project\ISD\frentzen\frentzen\artifacts\aligned_faces\enrollment\Abhiram\vid0_frame00650_aug_vid0_frame00650_photometric_0265.jpg,enrollment,vid0_frame00650,,false,No face detected.
Abhiram,C:\Users\main\Frentzen\Project\ISD\frentzen\frentzen\training_images_augmented_v2\Abhiram\aug_vid0_frame00285_photometric_0120.jpg,C:\Users\main\Frentzen\Project\ISD\frentzen\frentzen\artifacts\aligned_faces\enrollment\Abhiram\vid0_frame00285_aug_vid0_frame00285_photometric_0120.jpg,enrollment,vid0_frame00285,,false,No face detected.
Abhiram,C:\Users\main\Frentzen\Project\ISD\frentzen\frentzen\training_images_augmented_v2\Abhiram\aug_vid0_frame00135_combined_0366.jpg,C:\Users\main\Frentzen\Project\ISD\frentzen\frentzen\artifacts\aligned_faces\enrollment\Abhiram\vid0_frame00135_aug_vid0_frame00135_combined_0366.jpg,enrollment,vid0_frame00135,,false,No face detected.
Abhiram,C:\Users\main\Frentzen\Project\ISD\frentzen\frentzen\training_images_augmented_v2\Abhiram\aug_vid0_frame00720_combined_0446.jpg,C:\Users\main\Frentzen\Project\ISD\frentzen\frentzen\artifacts\aligned_faces\enrollment\Abhiram\vid0_frame00720_aug_vid0_frame00720_combined_0446.jpg,enrollment,vid0_frame00720,,false,No face detected.
Abhiram,C:\Users\main\Frentzen\Project\ISD\frentzen\frentzen\training_images_augmented_v2\Abhiram\aug_vid0_frame00625_photometric_0444.jpg,C:\Users\main\Frentzen\Project\ISD\frentzen\frentzen\artifacts\aligned_faces\validation\Abhiram\vid0_frame00625_aug_vid0_frame00625_photometric_0444.jpg,validation,vid0_frame00625,,false,No face detected.
Abhiram,C:\Users\main\Frentzen\Project\ISD\frentzen\frentzen\training_images_augmented_v2\Abhiram\aug_vid0_frame00360_photometric_0348.jpg,C:\Users\main\Frentzen\Project\ISD\frentzen\frentzen\artifacts\aligned_faces\validation\Abhiram\vid0_frame00360_aug_vid0_frame00360_photometric_0348.jpg,validation,vid0_frame00360,,false,No face detected.
Abhiram,C:\Users\main\Frentzen\Project\ISD\frentzen\frentzen\training_images_augmented_v2\Abhiram\aug_vid0_frame00375_photometric_0112.jpg,C:\Users\main\Frentzen\Project\ISD\frentzen\frentzen\artifacts\aligned_faces\test\Abhiram\vid0_frame00375_aug_vid0_frame00375_photometric_0112.jpg,test,vid0_frame00375,,false,No face detected.
Abhiram,C:\Users\main\Frentzen\Project\ISD\frentzen\frentzen\training_images_augmented_v2\Abhiram\aug_vid0_frame00185_photometric_0427.jpg,C:\Users\main\Frentzen\Project\ISD\frentzen\frentzen\artifacts\aligned_faces\test\Abhiram\vid0_frame00185_aug_vid0_frame00185_photometric_0427.jpg,test,vid0_frame00185,,false,No face detected.
Frentzen,C:\Users\main\Frentzen\Project\ISD\frentzen\frentzen\training_images_augmented_v2\Frentzen\aug_vid0_frame00159_photometric_0357.jpg,C:\Users\main\Frentzen\Project\ISD\frentzen\frentzen\artifacts\aligned_faces\enrollment\Frentzen\vid0_frame00159_aug_vid0_frame00159_photometric_0357.jpg,enrollment,vid0_frame00159,,false,No face detected.
Frentzen,C:\Users\main\Frentzen\Project\ISD\frentzen\frentzen\training_images_augmented_v2\Frentzen\aug_vid0_frame00054_photometric_0405.jpg,C:\Users\main\Frentzen\Project\ISD\frentzen\frentzen\artifacts\aligned_faces\enrollment\Frentzen\vid0_frame00054_aug_vid0_frame00054_photometric_0405.jpg,enrollment,vid0_frame00054,,false,No face detected.
Frentzen,C:\Users\main\Frentzen\Project\ISD\frentzen\frentzen\training_images_augmented_v2\Frentzen\aug_vid0_frame00069_photometric_0267.jpg,C:\Users\main\Frentzen\Project\ISD\frentzen\frentzen\artifacts\aligned_faces\enrollment\Frentzen\vid0_frame00069_aug_vid0_frame00069_photometric_0267.jpg,enrollment,vid0_frame00069,,false,No face detected.
Frentzen,C:\Users\main\Frentzen\Project\ISD\frentzen\frentzen\training_images_augmented_v2\Frentzen\aug_vid0_frame00192_fog_0191.jpg,C:\Users\main\Frentzen\Project\ISD\frentzen\frentzen\artifacts\aligned_faces\enrollment\Frentzen\vid0_frame00192_aug_vid0_frame00192_fog_0191.jpg,enrollment,vid0_frame00192,,false,No face detected.
Frentzen,C:\Users\main\Frentzen\Project\ISD\frentzen\frentzen\training_images_augmented_v2\Frentzen\aug_vid0_frame00276_photometric_0440.jpg,C:\Users\main\Frentzen\Project\ISD\frentzen\frentzen\artifacts\aligned_faces\enrollment\Frentzen\vid0_frame00276_aug_vid0_frame00276_photometric_0440.jpg,enrollment,vid0_frame00276,,false,No face detected.
Frentzen,C:\Users\main\Frentzen\Project\ISD\frentzen\frentzen\training_images_augmented_v2\Frentzen\aug_vid0_frame00066_snow_0199.jpg,C:\Users\main\Frentzen\Project\ISD\frentzen\frentzen\artifacts\aligned_faces\enrollment\Frentzen\vid0_frame00066_aug_vid0_frame00066_snow_0199.jpg,enrollment,vid0_frame00066,,false,No face detected.
Frentzen,C:\Users\main\Frentzen\Project\ISD\frentzen\frentzen\training_images_augmented_v2\Frentzen\aug_vid0_frame00105_fog_0224.jpg,C:\Users\main\Frentzen\Project\ISD\frentzen\frentzen\artifacts\aligned_faces\enrollment\Frentzen\vid0_frame00105_aug_vid0_frame00105_fog_0224.jpg,enrollment,vid0_frame00105,,false,No face detected.
Frentzen,C:\Users\main\Frentzen\Project\ISD\frentzen\frentzen\training_images_augmented_v2\Frentzen\aug_vid0_frame00267_photometric_0325.jpg,C:\Users\main\Frentzen\Project\ISD\frentzen\frentzen\artifacts\aligned_faces\enrollment\Frentzen\vid0_frame00267_aug_vid0_frame00267_photometric_0325.jpg,enrollment,vid0_frame00267,,false,No face detected.
Frentzen,C:\Users\main\Frentzen\Project\ISD\frentzen\frentzen\training_images_augmented_v2\Frentzen\aug_vid0_frame00252_rain_0057.jpg,C:\Users\main\Frentzen\Project\ISD\frentzen\frentzen\artifacts\aligned_faces\validation\Frentzen\vid0_frame00252_aug_vid0_frame00252_rain_0057.jpg,validation,vid0_frame00252,,false,No face detected.
Frentzen,C:\Users\main\Frentzen\Project\ISD\frentzen\frentzen\training_images_augmented_v2\Frentzen\aug_vid0_frame00270_fog_0043.jpg,C:\Users\main\Frentzen\Project\ISD\frentzen\frentzen\artifacts\aligned_faces\validation\Frentzen\vid0_frame00270_aug_vid0_frame00270_fog_0043.jpg,validation,vid0_frame00270,,false,No face detected.
Frentzen,C:\Users\main\Frentzen\Project\ISD\frentzen\frentzen\training_images_augmented_v2\Frentzen\aug_vid0_frame00270_rain_0435.jpg,C:\Users\main\Frentzen\Project\ISD\frentzen\frentzen\artifacts\aligned_faces\validation\Frentzen\vid0_frame00270_aug_vid0_frame00270_rain_0435.jpg,validation,vid0_frame00270,,false,No face detected.
Frentzen,C:\Users\main\Frentzen\Project\ISD\frentzen\frentzen\training_images_augmented_v2\Frentzen\aug_vid0_frame00201_fog_0167.jpg,C:\Users\main\Frentzen\Project\ISD\frentzen\frentzen\artifacts\aligned_faces\validation\Frentzen\vid0_frame00201_aug_vid0_frame00201_fog_0167.jpg,validation,vid0_frame00201,,false,No face detected.
Frentzen,C:\Users\main\Frentzen\Project\ISD\frentzen\frentzen\training_images_augmented_v2\Frentzen\aug_vid0_frame00075_fog_0241.jpg,C:\Users\main\Frentzen\Project\ISD\frentzen\frentzen\artifacts\aligned_faces\validation\Frentzen\vid0_frame00075_aug_vid0_frame00075_fog_0241.jpg,validation,vid0_frame00075,,false,No face detected.
Frentzen,C:\Users\main\Frentzen\Project\ISD\frentzen\frentzen\training_images_augmented_v2\Frentzen\aug_vid0_frame00063_photometric_0071.jpg,C:\Users\main\Frentzen\Project\ISD\frentzen\frentzen\artifacts\aligned_faces\validation\Frentzen\vid0_frame00063_aug_vid0_frame00063_photometric_0071.jpg,validation,vid0_frame00063,,false,No face detected.
