identity,path,split,group_id
Abhiram,C:\Users\main\Frentzen\Project\ISD\training_images_augmented_v2\Abhiram\aug_vid0_frame00335_combined_0097.jpg,enrollment,vid0_frame00335
Abhiram,C:\Users\main\Frentzen\Project\ISD\training_images_augmented_v2\Abhiram\aug_vid0_frame00335_combined_0439.jpg,enrollment,vid0_frame00335
Abhiram,C:\Users\main\Frentzen\Project\ISD\training_images_augmented_v2\Abhiram\aug_vid0_frame00335_occlusion_0440.jpg,enrollment,vid0_frame00335
Abhiram,C:\Users\main\Frentzen\Project\ISD\training_images_augmented_v2\Abhiram\raw_vid0_frame00335.jpg,enrollment,vid0_frame00335
Abhiram,C:\Users\main\Frentzen\Project\ISD\training_images_augmented_v2\Abhiram\aug_vid0_frame00710_photometric_0284.jpg,enrollment,vid0_frame00710
Abhiram,C:\Users\main\Frentzen\Project\ISD\training_images_augmented_v2\Abhiram\aug_vid0_frame00710_photometric_0405.jpg,enrollment,vid0_frame00710
Abhiram,C:\Users\main\Frentzen\Project\ISD\training_images_augmented_v2\Abhiram\raw_vid0_frame00710.jpg,enrollment,vid0_frame00710
Abhiram,C:\Users\main\Frentzen\Project\ISD\training_images_augmented_v2\Abhiram\aug_vid0_frame00570_geometric_0183.jpg,enrollment,vid0_frame00570
Abhiram,C:\Users\main\Frentzen\Project\ISD\training_images_augmented_v2\Abhiram\aug_vid0_frame00570_occlusion_0009.jpg,enrollment,vid0_frame00570
Abhiram,C:\Users\main\Frentzen\Project\ISD\training_images_augmented_v2\Abhiram\aug_vid0_frame00570_photometric_0347.jpg,enrollment,vid0_frame00570
Abhiram,C:\Users\main\Frentzen\Project\ISD\training_images_augmented_v2\Abhiram\aug_vid0_frame00570_snow_0266.jpg,enrollment,vid0_frame00570
Abhiram,C:\Users\main\Frentzen\Project\ISD\training_images_augmented_v2\Abhiram\raw_vid0_frame00570.jpg,enrollment,vid0_frame00570
Abhiram,C:\Users\main\Frentzen\Project\ISD\training_images_augmented_v2\Abhiram\aug_vid0_frame00715_geometric_0007.jpg,enrollment,vid0_frame00715
Abhiram,C:\Users\main\Frentzen\Project\ISD\training_images_augmented_v2\Abhiram\aug_vid0_frame00715_photometric_0269.jpg,enrollment,vid0_frame00715
Abhiram,C:\Users\main\Frentzen\Project\ISD\training_images_augmented_v2\Abhiram\raw_vid0_frame00715.jpg,enrollment,vid0_frame00715
Abhiram,C:\Users\main\Frentzen\Project\ISD\training_images_augmented_v2\Abhiram\aug_vid0_frame00395_combined_0111.jpg,enrollment,vid0_frame00395
Abhiram,C:\Users\main\Frentzen\Project\ISD\training_images_augmented_v2\Abhiram\aug_vid0_frame00395_fog_0274.jpg,enrollment,vid0_frame00395
Abhiram,C:\Users\main\Frentzen\Project\ISD\training_images_augmented_v2\Abhiram\aug_vid0_frame00395_occlusion_0421.jpg,enrollment,vid0_frame00395
Abhiram,C:\Users\main\Frentzen\Project\ISD\training_images_augmented_v2\Abhiram\raw_vid0_frame00395.jpg,enrollment,vid0_frame00395
Abhiram,C:\Users\main\Frentzen\Project\ISD\training_images_augmented_v2\Abhiram\aug_vid0_frame00325_photometric_0065.jpg,enrollment,vid0_frame00325
Abhiram,C:\Users\main\Frentzen\Project\ISD\training_images_augmented_v2\Abhiram\aug_vid0_frame00325_photometric_0256.jpg,enrollment,vid0_frame00325
Abhiram,C:\Users\main\Frentzen\Project\ISD\training_images_augmented_v2\Abhiram\aug_vid0_frame00325_photometric_0260.jpg,enrollment,vid0_frame00325
Abhiram,C:\Users\main\Frentzen\Project\ISD\training_images_augmented_v2\Abhiram\raw_vid0_frame00325.jpg,enrollment,vid0_frame00325
Abhiram,C:\Users\main\Frentzen\Project\ISD\training_images_augmented_v2\Abhiram\aug_vid0_frame00695_geometric_0003.jpg,enrollment,vid0_frame00695
Abhiram,C:\Users\main\Frentzen\Project\ISD\training_images_augmented_v2\Abhiram\aug_vid0_frame00695_geometric_0055.jpg,enrollment,vid0_frame00695
Abhiram,C:\Users\main\Frentzen\Project\ISD\training_images_augmented_v2\Abhiram\aug_vid0_frame00695_photometric_0008.jpg,enrollment,vid0_frame00695
Abhiram,C:\Users\main\Frentzen\Project\ISD\training_images_augmented_v2\Abhiram\raw_vid0_frame00695.jpg,enrollment,vid0_frame00695
Abhiram,C:\Users\main\Frentzen\Project\ISD\training_images_augmented_v2\Abhiram\aug_vid0_frame00210_combined_0398.jpg,enrollment,vid0_frame00210
Abhiram,C:\Users\main\Frentzen\Project\ISD\training_images_augmented_v2\Abhiram\aug_vid0_frame00210_geometric_0152.jpg,enrollment,vid0_frame00210
Abhiram,C:\Users\main\Frentzen\Project\ISD\training_images_augmented_v2\Abhiram\raw_vid0_frame00210.jpg,enrollment,vid0_frame00210
Abhiram,C:\Users\main\Frentzen\Project\ISD\training_images_augmented_v2\Abhiram\aug_vid0_frame00215_combined_0022.jpg,enrollment,vid0_frame00215
Abhiram,C:\Users\main\Frentzen\Project\ISD\training_images_augmented_v2\Abhiram\aug_vid0_frame00215_fog_0314.jpg,enrollment,vid0_frame00215
Abhiram,C:\Users\main\Frentzen\Project\ISD\training_images_augmented_v2\Abhiram\aug_vid0_frame00215_snow_0179.jpg,enrollment,vid0_frame00215
Abhiram,C:\Users\main\Frentzen\Project\ISD\training_images_augmented_v2\Abhiram\raw_vid0_frame00215.jpg,enrollment,vid0_frame00215
Abhiram,C:\Users\main\Frentzen\Project\ISD\training_images_augmented_v2\Abhiram\aug_vid0_frame00205_combined_0399.jpg,enrollment,vid0_frame00205
Abhiram,C:\Users\main\Frentzen\Project\ISD\training_images_augmented_v2\Abhiram\aug_vid0_frame00205_fog_0206.jpg,enrollment,vid0_frame00205
Abhiram,C:\Users\main\Frentzen\Project\ISD\training_images_augmented_v2\Abhiram\raw_vid0_frame00205.jpg,enrollment,vid0_frame00205
Abhiram,C:\Users\main\Frentzen\Project\ISD\training_images_augmented_v2\Abhiram\aug_vid0_frame00345_photometric_0046.jpg,enrollment,vid0_frame00345
Abhiram,C:\Users\main\Frentzen\Project\ISD\training_images_augmented_v2\Abhiram\aug_vid0_frame00345_photometric_0404.jpg,enrollment,vid0_frame00345
Abhiram,C:\Users\main\Frentzen\Project\ISD\training_images_augmented_v2\Abhiram\raw_vid0_frame00345.jpg,enrollment,vid0_frame00345
Abhiram,C:\Users\main\Frentzen\Project\ISD\training_images_augmented_v2\Abhiram\aug_vid0_frame00445_geometric_0311.jpg,enrollment,vid0_frame00445
Abhiram,C:\Users\main\Frentzen\Project\ISD\training_images_augmented_v2\Abhiram\aug_vid0_frame00445_occlusion_0103.jpg,enrollment,vid0_frame00445
Abhiram,C:\Users\main\Frentzen\Project\ISD\training_images_augmented_v2\Abhiram\aug_vid0_frame00445_photometric_0185.jpg,enrollment,vid0_frame00445
Abhiram,C:\Users\main\Frentzen\Project\ISD\training_images_augmented_v2\Abhiram\aug_vid0_frame00445_snow_0018.jpg,enrollment,vid0_frame00445
Abhiram,C:\Users\main\Frentzen\Project\ISD\training_images_augmented_v2\Abhiram\raw_vid0_frame00445.jpg,enrollment,vid0_frame00445
Abhiram,C:\Users\main\Frentzen\Project\ISD\training_images_augmented_v2\Abhiram\aug_vid0_frame00000_fog_0231.jpg,enrollment,vid0_frame00000
Abhiram,C:\Users\main\Frentzen\Project\ISD\training_images_augmented_v2\Abhiram\aug_vid0_frame00000_geometric_0156.jpg,enrollment,vid0_frame00000
Abhiram,C:\Users\main\Frentzen\Project\ISD\training_images_augmented_v2\Abhiram\raw_vid0_frame00000.jpg,enrollment,vid0_frame00000
Abhiram,C:\Users\main\Frentzen\Project\ISD\training_images_augmented_v2\Abhiram\raw_vid0_frame00025.jpg,enrollment,vid0_frame00025
Abhiram,C:\Users\main\Frentzen\Project\ISD\training_images_augmented_v2\Abhiram\aug_vid0_frame00495_photometric_0330.jpg,enrollment,vid0_frame00495
Abhiram,C:\Users\main\Frentzen\Project\ISD\training_images_augmented_v2\Abhiram\aug_vid0_frame00495_photometric_0445.jpg,enrollment,vid0_frame00495
Abhiram,C:\Users\main\Frentzen\Project\ISD\training_images_augmented_v2\Abhiram\aug_vid0_frame00495_rain_0034.jpg,enrollment,vid0_frame00495
Abhiram,C:\Users\main\Frentzen\Project\ISD\training_images_augmented_v2\Abhiram\aug_vid0_frame00495_rain_0271.jpg,enrollment,vid0_frame00495
Abhiram,C:\Users\main\Frentzen\Project\ISD\training_images_augmented_v2\Abhiram\raw_vid0_frame00495.jpg,enrollment,vid0_frame00495
Abhiram,C:\Users\main\Frentzen\Project\ISD\training_images_augmented_v2\Abhiram\aug_vid0_frame00170_photometric_0114.jpg,enrollment,vid0_frame00170
Abhiram,C:\Users\main\Frentzen\Project\ISD\training_images_augmented_v2\Abhiram\raw_vid0_frame00170.jpg,enrollment,vid0_frame00170
Abhiram,C:\Users\main\Frentzen\Project\ISD\training_images_augmented_v2\Abhiram\aug_vid0_frame00700_geometric_0202.jpg,enrollment,vid0_frame00700
Abhiram,C:\Users\main\Frentzen\Project\ISD\training_images_augmented_v2\Abhiram\aug_vid0_frame00700_geometric_0423.jpg,enrollment,vid0_frame00700
Abhiram,C:\Users\main\Frentzen\Project\ISD\training_images_augmented_v2\Abhiram\aug_vid0_frame00700_occlusion_0276.jpg,enrollment,vid0_frame00700
Abhiram,C:\Users\main\Frentzen\Project\ISD\training_images_augmented_v2\Abhiram\aug_vid0_frame00700_photometric_0299.jpg,enrollment,vid0_frame00700
Abhiram,C:\Users\main\Frentzen\Project\ISD\training_images_augmented_v2\Abhiram\aug_vid0_frame00700_snow_0117.jpg,enrollment,vid0_frame00700
Abhiram,C:\Users\main\Frentzen\Project\ISD\training_images_augmented_v2\Abhiram\raw_vid0_frame00700.jpg,enrollment,vid0_frame00700
Abhiram,C:\Users\main\Frentzen\Project\ISD\training_images_augmented_v2\Abhiram\aug_vid0_frame00095_combined_0339.jpg,enrollment,vid0_frame00095
Abhiram,C:\Users\main\Frentzen\Project\ISD\training_images_augmented_v2\Abhiram\aug_vid0_frame00095_geometric_0157.jpg,enrollment,vid0_frame00095
Abhiram,C:\Users\main\Frentzen\Project\ISD\training_images_augmented_v2\Abhiram\aug_vid0_frame00095_occlusion_0222.jpg,enrollment,vid0_frame00095
Abhiram,C:\Users\main\Frentzen\Project\ISD\training_images_augmented_v2\Abhiram\raw_vid0_frame00095.jpg,enrollment,vid0_frame00095
Abhiram,C:\Users\main\Frentzen\Project\ISD\training_images_augmented_v2\Abhiram\aug_vid0_frame00435_geometric_0360.jpg,enrollment,vid0_frame00435
Abhiram,C:\Users\main\Frentzen\Project\ISD\training_images_augmented_v2\Abhiram\aug_vid0_frame00435_photometric_0012.jpg,enrollment,vid0_frame00435
Abhiram,C:\Users\main\Frentzen\Project\ISD\training_images_augmented_v2\Abhiram\aug_vid0_frame00435_photometric_0237.jpg,enrollment,vid0_frame00435
Abhiram,C:\Users\main\Frentzen\Project\ISD\training_images_augmented_v2\Abhiram\aug_vid0_frame00435_photometric_0416.jpg,enrollment,vid0_frame00435
Abhiram,C:\Users\main\Frentzen\Project\ISD\training_images_augmented_v2\Abhiram\aug_vid0_frame00435_rain_0160.jpg,enrollment,vid0_frame00435
Abhiram,C:\Users\main\Frentzen\Project\ISD\training_images_augmented_v2\Abhiram\aug_vid0_frame00435_snow_0411.jpg,enrollment,vid0_frame00435
Abhiram,C:\Users\main\Frentzen\Project\ISD\training_images_augmented_v2\Abhiram\raw_vid0_frame00435.jpg,enrollment,vid0_frame00435
Abhiram,C:\Users\main\Frentzen\Project\ISD\training_images_augmented_v2\Abhiram\aug_vid0_frame00160_photometric_0436.jpg,enrollment,vid0_frame00160
Abhiram,C:\Users\main\Frentzen\Project\ISD\training_images_augmented_v2\Abhiram\raw_vid0_frame00160.jpg,enrollment,vid0_frame00160
Abhiram,C:\Users\main\Frentzen\Project\ISD\training_images_augmented_v2\Abhiram\aug_vid0_frame00620_fog_0217.jpg,enrollment,vid0_frame00620
Abhiram,C:\Users\main\Frentzen\Project\ISD\training_images_augmented_v2\Abhiram\aug_vid0_frame00620_geometric_0073.jpg,enrollment,vid0_frame00620
Abhiram,C:\Users\main\Frentzen\Project\ISD\training_images_augmented_v2\Abhiram\aug_vid0_frame00620_photometric_0304.jpg,enrollment,vid0_frame00620
Abhiram,C:\Users\main\Frentzen\Project\ISD\training_images_augmented_v2\Abhiram\raw_vid0_frame00620.jpg,enrollment,vid0_frame00620
Abhiram,C:\Users\main\Frentzen\Project\ISD\training_images_augmented_v2\Abhiram\aug_vid0_frame00705_combined_0084.jpg,enrollment,vid0_frame00705
Abhiram,C:\Users\main\Frentzen\Project\ISD\training_images_augmented_v2\Abhiram\aug_vid0_frame00705_occlusion_0043.jpg,enrollment,vid0_frame00705
Abhiram,C:\Users\main\Frentzen\Project\ISD\training_images_augmented_v2\Abhiram\raw_vid0_frame00705.jpg,enrollment,vid0_frame00705
Abhiram,C:\Users\main\Frentzen\Project\ISD\training_images_augmented_v2\Abhiram\aug_vid0_frame00380_combined_0100.jpg,enrollment,vid0_frame00380
Abhiram,C:\Users\main\Frentzen\Project\ISD\training_images_augmented_v2\Abhiram\aug_vid0_frame00380_combined_0365.jpg,enrollment,vid0_frame00380
Abhiram,C:\Users\main\Frentzen\Project\ISD\training_images_augmented_v2\Abhiram\aug_vid0_frame00380_geometric_0099.jpg,enrollment,vid0_frame00380
Abhiram,C:\Users\main\Frentzen\Project\ISD\training_images_augmented_v2\Abhiram\aug_vid0_frame00380_geometric_0278.jpg,enrollment,vid0_frame00380
